Model,Class,Precision,Recall,F1,Support
Logistic Regression,low risk,0.6701030927835051,0.8024691358024691,0.7303370786516854,81.0
Logistic Regression,mid risk,0.5102040816326531,0.373134328358209,0.43103448275862066,67.0
Logistic Regression,high risk,0.7543859649122807,0.7818181818181819,0.7678571428571429,55.0
Decision Tree,low risk,0.8701298701298701,0.8271604938271605,0.8481012658227848,81.0
Decision Tree,mid risk,0.8059701492537313,0.8059701492537313,0.8059701492537313,67.0
Decision Tree,high risk,0.8983050847457628,0.9636363636363636,0.9298245614035088,55.0
KNN,low risk,0.8571428571428571,0.8148148148148148,0.8354430379746836,81.0
KNN,mid risk,0.7910447761194029,0.7910447761194029,0.7910447761194029,67.0
KNN,high risk,0.8983050847457628,0.9636363636363636,0.9298245614035088,55.0
SVM,low risk,0.75,0.8148148148148148,0.7810650887573964,81.0
SVM,mid risk,0.7222222222222222,0.582089552238806,0.6446280991735537,67.0
SVM,high risk,0.8360655737704918,0.9272727272727272,0.8793103448275862,55.0
Random Forest,low risk,0.8666666666666667,0.8024691358024691,0.8333333333333334,81.0
Random Forest,mid risk,0.782608695652174,0.8059701492537313,0.7941176470588235,67.0
Random Forest,high risk,0.8983050847457628,0.9636363636363636,0.9298245614035088,55.0
Gradient Boosting,low risk,0.8311688311688312,0.7901234567901234,0.810126582278481,81.0
Gradient Boosting,mid risk,0.7575757575757576,0.746268656716418,0.7518796992481203,67.0
Gradient Boosting,high risk,0.8833333333333333,0.9636363636363636,0.9217391304347826,55.0
MLP Neural Network,low risk,0.6306306306306306,0.8641975308641975,0.7291666666666666,81.0
MLP Neural Network,mid risk,0.6,0.31343283582089554,0.4117647058823529,67.0
MLP Neural Network,high risk,0.8070175438596491,0.8363636363636363,0.8214285714285714,55.0
