Feature,Importance Mean,Importance Std
BS,0.28121240073560905,0.023202681994673232
SystolicBP,0.06780438454690428,0.012328691763720924
Age,0.048613418204952415,0.01332600942358768
BodyTemp,0.04683229212704579,0.009925837619095657
HeartRate,0.008649291682839972,0.012238172544380192
MeanArterialPressure,0.0067814926297801005,0.010084180103588839
AgeGroup_adult,0.003352950297174262,0.0038073040702274567
DiastolicBP,-0.0008727708643482768,0.00466936743643035
AgeGroup_advanced_maternal_age,-0.003981489316740356,0.0042183547091696905
PulsePressure,-0.007369240380359604,0.0075450025867973254
SystolicDiastolicRatio,-0.010727023777190054,0.006132241948700734
